-------------------------------------------------
List pixels with fired count in range 1 to 100000
-------------------------------------------------

Pixel[x=0103,y=0006] = 0033
Pixel[x=0094,y=0007] = 0007
Pixel[x=0077,y=0016] = 0002
Pixel[x=0618,y=0025] = 0002
Pixel[x=0066,y=0037] = 0005
Pixel[x=0899,y=0037] = 0001
Pixel[x=0019,y=0049] = 0001
Pixel[x=0006,y=0058] = 0006
Pixel[x=0081,y=0083] = 0001
Pixel[x=0479,y=0087] = 0011
Pixel[x=0081,y=0093] = 0003
Pixel[x=0316,y=0100] = 0019
Pixel[x=0016,y=0106] = 0001
Pixel[x=0914,y=0107] = 9799
Pixel[x=0050,y=0117] = 0001
Pixel[x=0051,y=0117] = 0001
Pixel[x=0050,y=0118] = 0001
Pixel[x=0051,y=0118] = 0001
Pixel[x=0077,y=0128] = 0003
Pixel[x=0112,y=0129] = 0007
Pixel[x=0059,y=0137] = 0004
Pixel[x=0374,y=0138] = 0002
Pixel[x=0015,y=0139] = 0001
Pixel[x=0980,y=0150] = 0001
Pixel[x=0039,y=0157] = 0005
Pixel[x=0017,y=0170] = 0003
Pixel[x=0099,y=0171] = 0065
Pixel[x=0944,y=0171] = 0017
Pixel[x=0118,y=0180] = 0052
Pixel[x=0082,y=0184] = 0010
Pixel[x=0926,y=0198] = 0001
Pixel[x=0968,y=0205] = 0013
Pixel[x=0026,y=0217] = 0304
Pixel[x=0259,y=0218] = 0002
Pixel[x=0058,y=0242] = 0002
Pixel[x=0017,y=0244] = 0001
Pixel[x=0004,y=0250] = 0001
Pixel[x=0106,y=0254] = 0138
Pixel[x=0956,y=0256] = 0012
Pixel[x=0050,y=0263] = 0008
Pixel[x=0073,y=0282] = 0002
Pixel[x=0059,y=0299] = 0001
Pixel[x=0038,y=0305] = 0011
Pixel[x=0938,y=0312] = 0008
Pixel[x=0053,y=0316] = 0003
Pixel[x=0028,y=0320] = 0001
Pixel[x=0512,y=0323] = 0001
Pixel[x=0110,y=0331] = 0001
Pixel[x=0003,y=0332] = 0044
Pixel[x=0027,y=0342] = 0006
Pixel[x=0105,y=0342] = 0002
Pixel[x=0899,y=0348] = 0139
Pixel[x=0056,y=0365] = 0002
Pixel[x=0913,y=0376] = 1283
Pixel[x=0077,y=0378] = 0056
Pixel[x=0100,y=0381] = 0023
Pixel[x=0104,y=0383] = 0001
Pixel[x=0780,y=0383] = 0004
Pixel[x=0066,y=0385] = 0006
Pixel[x=0095,y=0400] = 0011
Pixel[x=0007,y=0411] = 0003
Pixel[x=0056,y=0411] = 0001
Pixel[x=0013,y=0424] = 0003
Pixel[x=0126,y=0426] = 0041
Pixel[x=0636,y=0426] = 0001
Pixel[x=0117,y=0428] = 0005
Pixel[x=0116,y=0429] = 0036
Pixel[x=0101,y=0433] = 0003
Pixel[x=0046,y=0435] = 0050
Pixel[x=0946,y=0446] = 0004
Pixel[x=0054,y=0449] = 0005
Pixel[x=0956,y=0449] = 0008
Pixel[x=0097,y=0456] = 0001
Pixel[x=0075,y=0465] = 0044
Pixel[x=0126,y=0466] = 0001
Pixel[x=0980,y=0467] = 0004
Pixel[x=0758,y=0479] = 0627
Pixel[x=0005,y=0484] = 0001
Pixel[x=0092,y=0484] = 1189
Pixel[x=0067,y=0493] = 0074
Pixel[x=0096,y=0503] = 0016
